accession,uid,voucher,subname,subtype,source_identifier,institution_code,specimen_id,specimen_idA,specimen_idB,definition
GQ128448,264686833,AD00P259,"MCZ:AD00P259|Agriades pyrenaicus dardanus|Armenia: Gnishyk, Aiodzor Mountains",specimen_voucher|old_name|country,MCZ:AD00P259,MCZ,AD00P259,,,"Plebejus dardanus voucher MCZ:AD00P259 28S ribosomal RNA gene, partial sequence"
GQ128840,264683726,AD00P259,"MCZ:AD00P259|Agriades pyrenaicus dardanus|Armenia: Gnishyk, Aiodzor Mountains",specimen_voucher|old_name|country,MCZ:AD00P259,MCZ,AD00P259,,,"Plebejus dardanus voucher MCZ:AD00P259 wingless (wg) gene, partial cds"
GQ129038,266634981,VL05Z994,"MCZ:VL05Z994|Russia: Altai, Sailugem Range",specimen_voucher|country,MCZ:VL05Z994,MCZ,VL05Z994,,,"Agriades glandon glandon voucher MCZ:VL05Z994 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence"
GQ128729,264687380,VL05Z994,"MCZ:VL05Z994|Russia: Altai, Sailugem Range",specimen_voucher|country,MCZ:VL05Z994,MCZ,VL05Z994,,,"Agriades glandon glandon voucher MCZ:VL05Z994 histone H3 (H3) gene, partial cds"
GQ128942,264687093,VL05Z994,"MCZ:VL05Z994|Russia: Altai, Sailugem Range",specimen_voucher|country,MCZ:VL05Z994,MCZ,VL05Z994,,,"Agriades glandon glandon voucher MCZ:VL05Z994 cytochrome c oxidase I (COI) gene, partial cds; tRNA-Leu gene, complete sequence; and cytochrome c oxidase II (COII) gene, complete cds; mitochondrial"
GQ129110,266635053,VL01B424,"MCZ:VL01B424|Vacciniina optilete optilete|Russia: St. Petersburg, Tamengont",specimen_voucher|old_name|country,MCZ:VL01B424,MCZ,VL01B424,,,"Agriades optilete optilete voucher MCZ:VL01B424 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence"
GQ128699,266634921,VL01B424,"MCZ:VL01B424|Vacciniina optilete optilete|Russia: St. Petersburg, Tamengont",specimen_voucher|old_name|country,MCZ:VL01B424,MCZ,VL01B424,,,"Agriades optilete optilete voucher MCZ:VL01B424 elongation factor 1 alpha (Ef-1a) gene, partial cds"
GQ128803,264687528,VL01B424,"MCZ:VL01B424|Vacciniina optilete optilete|Russia: St. Petersburg, Tamengont",specimen_voucher|old_name|country,MCZ:VL01B424,MCZ,VL01B424,,,"Agriades optilete optilete voucher MCZ:VL01B424 histone H3 (H3) gene, partial cds"
GQ129011,264687299,VL01B424,"MCZ:VL01B424|Vacciniina optilete optilete|Russia: St. Petersburg, Tamengont",specimen_voucher|old_name|country,MCZ:VL01B424,MCZ,VL01B424,,,"Agriades optilete optilete voucher MCZ:VL01B424 cytochrome c oxidase I (COI) gene, partial cds; tRNA-Leu gene, complete sequence; and cytochrome c oxidase II (COII) gene, complete cds; mitochondrial"
GQ128630,264687089,VL01B424,"MCZ:VL01B424|Vacciniina optilete optilete|Russia: St. Petersburg, Tamengont",specimen_voucher|old_name|country,MCZ:VL01B424,MCZ,VL01B424,,,"Agriades optilete optilete voucher MCZ:VL01B424 carbamoyl phosphate synthetase II domain (CAD) gene, partial cds"
GQ128521,264686906,VL01B424,"MCZ:VL01B424|Vacciniina optilete optilete|Russia: St. Petersburg, Tamengont",specimen_voucher|old_name|country,MCZ:VL01B424,MCZ,VL01B424,,,"Agriades optilete optilete voucher MCZ:VL01B424 28S ribosomal RNA gene, partial sequence"
GQ128910,264683866,VL01B424,"MCZ:VL01B424|Vacciniina optilete optilete|Russia: St. Petersburg, Tamengont",specimen_voucher|old_name|country,MCZ:VL01B424,MCZ,VL01B424,,,"Agriades optilete optilete voucher MCZ:VL01B424 wingless (wg) gene, partial cds"
GQ129043,266634986,AD03B064,"MCZ:AD03B064|Albulina orbitulus|Russia: Altai, Aktash",specimen_voucher|old_name|country,MCZ:AD03B064,MCZ,AD03B064,,,"Agriades orbitulus voucher MCZ:AD03B064 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 28S ribosomal RNA gene, partial sequence"
GQ128634,266634791,AD03B064,"MCZ:AD03B064|Albulina orbitulus|Russia: Altai, Aktash",specimen_voucher|old_name|country,MCZ:AD03B064,MCZ,AD03B064,,,"Agriades orbitulus voucher MCZ:AD03B064 elongation factor 1 alpha (Ef-1a) gene, partial cds"
GQ128734,264687390,AD03B064,"MCZ:AD03B064|Albulina orbitulus|Russia: Altai, Aktash",specimen_voucher|old_name|country,MCZ:AD03B064,MCZ,AD03B064,,,"Agriades orbitulus voucher MCZ:AD03B064 histone H3 (H3) gene, partial cds"
GQ128945,264687102,AD03B064,"MCZ:AD03B064|Albulina orbitulus|Russia: Altai, Aktash",specimen_voucher|old_name|country,MCZ:AD03B064,MCZ,AD03B064,,,"Agriades orbitulus voucher MCZ:AD03B064 cytochrome c oxidase I (COI) gene, partial cds; tRNA-Leu gene, complete sequence; and cytochrome c oxidase II (COII) gene, complete cds; mitochondrial"
GQ128560,264686949,AD03B064,"MCZ:AD03B064|Albulina orbitulus|Russia: Altai, Aktash",specimen_voucher|old_name|country,MCZ:AD03B064,MCZ,AD03B064,,,"Agriades orbitulus voucher MCZ:AD03B064 carbamoyl phosphate synthetase II domain (CAD) gene, partial cds"
GQ128450,264686835,AD03B064,"MCZ:AD03B064|Albulina orbitulus|Russia: Altai, Aktash",specimen_voucher|old_name|country,MCZ:AD03B064,MCZ,AD03B064,,,"Agriades orbitulus voucher MCZ:AD03B064 28S ribosomal RNA gene, partial sequence"
GQ128842,264683730,AD03B064,"MCZ:AD03B064|Albulina orbitulus|Russia: Altai, Aktash",specimen_voucher|old_name|country,MCZ:AD03B064,MCZ,AD03B064,,,"Agriades orbitulus voucher MCZ:AD03B064 wingless (wg) gene, partial cds"
AY557030,50262656,MW99018,"MW99018|Agriades pyrenaicus Boisduval, 1840|Agriades pyrenaicus|male|Turkey: Caglayan (1500 m), Erzincan|05-Jul-1999|Martin Wiemers",specimen_voucher|authority|old_name|sex|country|collection_date|identified_by,MW99018,,MW99018,,,"Plebejus pyrenaicus voucher MW99018 cytochrome oxidase subunit I (coI) gene, partial cds; mitochondrial"
AY556659,233149344,MW99018,"MW99018|Agriades pyrenaicus Boisduval, 1840|Agriades pyrenaicus|male|adult|Turkey: Caglayan (1500 m), Erzincan|05-Jul-1999|Martin Wiemers",specimen_voucher|authority|old_name|sex|dev_stage|country|collection_date|identified_by,MW99018,,MW99018,,,"Plebejus pyrenaicus voucher MW99018 5.8S ribosomal RNA gene, partial sequence; and internal transcribed spacer 2, complete sequence"
KM046912,695134684,NW151-2,NW151-2|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-2,,NW151-2,,,"Anthocharis cardamines voucher NW151-2 carbamoylphosphate synthase domain protein (CAD) gene, partial cds"
KM046563,695134476,NW151-2,NW151-2|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-2,,NW151-2,,,"Anthocharis cardamines voucher NW151-2 wingless (Wgl) gene, partial cds"
KM046601,695134336,NW151-2,NW151-2|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-2,,NW151-2,,,"Anthocharis cardamines voucher NW151-2 ribosomal protein S5 (RpS5) gene, partial cds"
KM046672,695134210,NW151-2,NW151-2|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-2,,NW151-2,,,"Anthocharis cardamines voucher NW151-2 cytosolic malate dehydrogenase (MDH) gene, partial cds"
KM046735,695134080,NW151-2,NW151-2|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-2,,NW151-2,,,"Anthocharis cardamines voucher NW151-2 isocitrate dehydrogenase (IDH) gene, partial cds"
KM046799,695133994,NW151-2,NW151-2|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-2,,NW151-2,,,"Anthocharis cardamines voucher NW151-2 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KM046841,695133850,NW151-2,NW151-2|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-2,,NW151-2,,,"Anthocharis cardamines voucher NW151-2 glyceraldhyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
MN139212,1712400112,WMB1125-13,"RVcoll.11-D280|Italy: Sicily, Catania, Ragalna, Catania, Sicily Island|37.649 N 14.965 E|12-Apr-2011|Roger Vila",specimen_voucher|country|lat_lon|collection_date|identified_by,RVcoll.11-D280,,RVcoll.11-D280,,,"Anthocharis damone voucher RVcoll.11-D280 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
KM046494,695134548,NW151-1,NW151-1|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-1,,NW151-1,,,"Anthocharis belia voucher NW151-1 carbamoylphosphate synthase domain protein (CAD) gene, partial cds"
KM046600,695134334,NW151-1,NW151-1|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-1,,NW151-1,,,"Anthocharis belia voucher NW151-1 ribosomal protein S5 (RpS5) gene, partial cds"
KM046671,695134208,NW151-1,NW151-1|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-1,,NW151-1,,,"Anthocharis belia voucher NW151-1 cytosolic malate dehydrogenase (MDH) gene, partial cds"
KM046734,695134078,NW151-1,NW151-1|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-1,,NW151-1,,,"Anthocharis belia voucher NW151-1 isocitrate dehydrogenase (IDH) gene, partial cds"
KM046798,695133992,NW151-1,NW151-1|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-1,,NW151-1,,,"Anthocharis belia voucher NW151-1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
KM046840,695133848,NW151-1,NW151-1|Lepidoptera; Pieridae; Pierinae; Pierini; Anthocharis,specimen_voucher|old_lineage,NW151-1,,NW151-1,,,"Anthocharis belia voucher NW151-1 glyceraldhyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
HM393229,300203194,BC_ZSM_Lep_30727,"BC ZSM Lep 30727|Germany: Bavaria, Niederbayern, Passau, Fuerstenzell, Altenmarkt|48.5564 N 13.3384 E|R. Sturm",specimen_voucher|country|lat_lon|collected_by,BC ZSM Lep 30727,,BC ZSM Lep 30727,,,"Apatura ilia voucher BC ZSM Lep 30727 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
EU141335,161089037,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 CAD (CAD) gene, partial cds"
EU141692,161088913,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 ribosomal protein S2 (RpS2) gene, partial cds"
EU141636,161088801,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 cytosolic malate dehydrogenase (MDH) gene, partial cds"
EU141572,161088673,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 isocitrate dehydrogenase (IDH) gene, partial cds"
EU141513,161088555,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
EU141413,161088355,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 ribosomal protein S5 (RpS5) gene, partial cds"
EU141280,161088217,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 arginine kinase (ArgKin) gene, partial cds"
AY090165,29408868,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 elongation factor-1 alpha (EF-1alpha) gene, partial cds"
AY090199,29408936,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial"
AY090132,29408802,NW69-6,NW69-6,specimen_voucher,NW69-6,,NW69-6,,,"Apatura iris voucher NW69-6 wingless (wg) gene, partial cds"
MN752840,1852459211,NW100-1,NW100_1,specimen_voucher,NW100_1,,NW100_1,,,"Apatura metis voucher NW100_1 wingless (Wgl) gene, partial cds"
MN752702,1852458935,NW100-1,NW100_1,specimen_voucher,NW100_1,,NW100_1,,,"Apatura metis voucher NW100_1 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial"
GQ357588,257133825,EW2-1,EW2-1|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Aphantopus,specimen_voucher|old_lineage,EW2-1,,EW2-1,,,"Aphantopus hyperantus voucher EW2-1 ribosomal protein S5 (RpS5) gene, partial cds"
GQ357458,257133565,EW2-1,EW2-1|root; cellular organisms; Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Aphantopus,specimen_voucher|old_lineage,EW2-1,,EW2-1,,,"Aphantopus hyperantus voucher EW2-1 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KR139111,875842447,EW2-1,EW2-1,specimen_voucher,EW2-1,,EW2-1,,,"Aphantopus hyperantus voucher EW2-1 wingless (wgl) gene, partial cds"
EU141316,161088999,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi voucher NW149-4 CAD (CAD) gene, partial cds"
EU141679,161088887,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi voucher NW149-4 ribosomal protein S2 (RpS2) gene, partial cds"
EU141618,161088765,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi voucher NW149-4 cytosolic malate dehydrogenase (MDH) gene, partial cds"
EU141553,161088635,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi voucher NW149-4 isocitrate dehydrogenase (IDH) gene, partial cds"
EU141496,161088521,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi voucher NW149-4 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
EU141394,161088317,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi voucher NW149-4 ribosomal protein S5 (RpS5) gene, partial cds"
EU141361,161088251,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi voucher NW149-4 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial"
EU141242,161088141,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi voucher NW149-4 wingless (wgl) gene, partial cds"
EU136668,157400699,NW149-4,NW149-4,specimen_voucher,NW149-4,,NW149-4,,,"Aporia crataegi elongation factor 1 alpha (EF-1a) gene, partial cds"
MN752817,1852459165,NW138-12,NW138_12,specimen_voucher,NW138_12,,NW138_12,,,"Araschnia levana voucher NW138_12 dopa decarboxylase (DDC) gene, partial cds"
GQ865171,269117876,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 cytosolic malate dehydrogenase (MDH) gene, partial cds"
GQ865064,269117662,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 isocitrate dehydrogenase (IDH) gene, partial cds"
GQ864829,269117192,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 elongation factor-1 alpha (EF-1a) gene, partial cds"
GQ864735,269117004,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
GQ864610,269116754,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 CAD (CAD) gene, partial cds"
GQ864516,269116566,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 arginine kinase (ArgKin) gene, partial cds"
GQ864423,269116380,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 wingless (wgl) gene, partial cds"
GQ865391,269118316,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 ribosomal protein S5 (RpS5) gene, partial cds"
GQ864925,269117384,NW138-12,NW138-12,specimen_voucher,NW138-12,,NW138-12,,,"Araschnia levana voucher NW138-12 glyceraldhyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
DQ351135,85740820,FS-b-1868,FS-b-1868|Turkey: Oludinez|09-Apr-1999,isolate|country|collection_date,FS-b-1868,,FS-b-1868,,,"Archon apollinus isolate FS-b-1868 wingless (wg) gene, partial cds"
DQ351111,85740772,FS-b-1868,FS-b-1868|Turkey: Oludinez|09-Apr-1999,isolate|country|collection_date,FS-b-1868,,FS-b-1868,,,"Archon apollinus isolate FS-b-1868 elongation factor-1 alpha (EF-1 alpha) gene, partial cds"
DQ351031,85740653,FS-b-1868,FS-b-1868|Turkey: Oludinez|09-Apr-1999,isolate|country|collection_date,FS-b-1868,,FS-b-1868,,,"Archon apollinus isolate FS-b-1868 cytochrome oxidase subunit I (COI) gene, partial sequence; tRNA-Leu gene, complete sequence; and cytochrome oxidase subunit II (COII) gene, partial sequence; mitochondrial"
DQ338728,85376897,CP11-06,CP11-06|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Satyrina; Arethusana,specimen_voucher|old_lineage,CP11-06,,CP11-06,,,"Arethusana arethusa voucher CP11-06 wingless (wgl) gene, partial cds"
DQ338863,85014066,CP11-06,CP11-06|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Satyrina; Arethusana,specimen_voucher|old_lineage,CP11-06,,CP11-06,,,"Arethusana arethusa voucher CP11-06 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial"
DQ339018,85013792,CP11-06,CP11-06|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Satyrina; Arethusana,specimen_voucher|old_lineage,CP11-06,,CP11-06,,,"Arethusana arethusa voucher CP11-06 elongation factor-1 alpha (EF1-alpha) gene, partial cds"
GQ357626,257133901,CP11-06,CP11-06|Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Arethusana,specimen_voucher|old_lineage,CP11-06,,CP11-06,,,"Arethusana arethusa voucher CP11-06 ribosomal protein S5 (RpS5) gene, partial cds"
GQ357500,257133649,CP11-06,CP11-06|root; cellular organisms; Eukaryota; Metazoa; Arthropoda; Tracheata; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Nymphalidae; Satyrinae; Satyrini; Arethusana,specimen_voucher|old_lineage,CP11-06,,CP11-06,,,"Arethusana arethusa voucher CP11-06 glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
KY773485,1231161394,NW104-15,NW104-15,specimen_voucher,NW104-15,,NW104-15,,,"Argynnis laodice voucher NW104-15 ribosomal protein S5 (RPS5) gene, partial cds"
KY773381,1231161186,NW104-15,NW104-15,specimen_voucher,NW104-15,,NW104-15,,,"Argynnis laodice voucher NW104-15 glyceraldhyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
DQ922876,115493928,NW104-15,NW104-15,specimen_voucher,NW104-15,,NW104-15,,,"Argynnis laodice voucher NW104-15 elongation factor-1 alpha (EF-1alpha) gene, partial cds"
DQ922844,115493864,NW104-15,NW104-15,specimen_voucher,NW104-15,,NW104-15,,,"Argynnis laodice voucher NW104-15 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial"
DQ922812,115493800,NW104-15,NW104-15,specimen_voucher,NW104-15,,NW104-15,,,"Argynnis laodice voucher NW104-15 wingless (wgl) gene, partial cds"
KY773486,1231161396,NW105-1,NW105-1,specimen_voucher,NW105-1,,NW105-1,,,"Argynnis pandora voucher NW105-1 ribosomal protein S5 (RPS5) gene, partial cds"
KY773382,1231161188,NW105-1,NW105-1,specimen_voucher,NW105-1,,NW105-1,,,"Argynnis pandora voucher NW105-1 glyceraldhyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds"
DQ922894,115493964,NW105-1,NW105-1,specimen_voucher,NW105-1,,NW105-1,,,"Argynnis pandora voucher NW105-1 elongation factor-1 alpha (EF-1alpha) gene, partial cds"
DQ922862,115493900,NW105-1,NW105-1,specimen_voucher,NW105-1,,NW105-1,,,"Argynnis pandora voucher NW105-1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial"
DQ922830,115493836,NW105-1,NW105-1,specimen_voucher,NW105-1,,NW105-1,,,"Argynnis pandora voucher NW105-1 wingless (wgl) gene, partial cds"
MG741843,1345626006,NW76-12,NW76-12|Lepidoptera; Nymphalidae; Heliconiinae; Argynnini; Argynnis,specimen_voucher|old_lineage,NW76-12,,NW76-12,,,"Argynnis paphia voucher NW76-12 arginine kinase (ArgK) gene, partial cds"
MG741789,1345625898,NW76-12,NW76-12|Lepidoptera; Nymphalidae; Heliconiinae; Argynnini; Argynnis,specimen_voucher|old_lineage,NW76-12,,NW76-12,,,"Argynnis paphia voucher NW76-12 cyclin Y (CycY) gene, partial cds"
MG741745,1345625810,NW76-12,NW76-12|Lepidoptera; Nymphalidae; Heliconiinae; Argynnini; Argynnis,specimen_voucher|old_lineage,NW76-12,,NW76-12,,,"Argynnis paphia voucher NW76-12 dopa-decarboxylase (DDC) gene, partial cds"
MG741605,1345625370,NW76-12,NW76-12|Lepidoptera; Nymphalidae; Heliconiinae; Argynnini; Argynnis,specimen_voucher|old_lineage,NW76-12,,NW76-12,,,"Argynnis paphia voucher NW76-12 exportin-1-like protein (Exp1) gene, partial cds"
MG741432,1345625184,NW76-12,NW76-12|Lepidoptera; Nymphalidae; Heliconiinae; Argynnini; Argynnis,specimen_voucher|old_lineage,NW76-12,,NW76-12,,,"Argynnis paphia voucher NW76-12 sorting nexin-9-like protein (Nex9) gene, partial cds"
MG741378,1345625076,NW76-12,NW76-12|Lepidoptera; Nymphalidae; Heliconiinae; Argynnini; Argynnis,specimen_voucher|old_lineage,NW76-12,,NW76-12,,,"Argynnis paphia voucher NW76-12 DNA-directed RNA polymerase II polypeptide (PolII) gene, partial cds"
MG741330,1345624980,NW76-12,NW76-12|Lepidoptera; Nymphalidae; Heliconiinae; Argynnini; Argynnis,specimen_voucher|old_lineage,NW76-12,,NW76-12,,,"Argynnis paphia voucher NW76-12 suppressor of profilin 2 (ProSup) gene, partial cds"
